index,image,title,actor,time,score
91,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@160w_220h_1e_1c,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国),9.3
92,https://p0.meituan.net/movie/55d9fcd5bc528636070c0307bac17037405534.jpg@160w_220h_1e_1c,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国),8.8
93,https://p1.meituan.net/movie/695068396bc605d4971a491314f12104490916.jpg@160w_220h_1e_1c,神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-06-20(俄罗斯),8.9
94,https://p1.meituan.net/movie/8f9a05ab6e883492bc8f3b3d81574e90488241.jpg@160w_220h_1e_1c,恐怖直播,"河正宇,李璟荣,李大卫",2013-07-31(韩国),8.8
95,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@160w_220h_1e_1c,幽灵公主,"松田洋治,石田百合子,田中裕子",1998-05-01,8.9
96,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@160w_220h_1e_1c,鬼子来了,"姜文,姜宏波,陈强",2000-05-13(法国),8.9
97,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@160w_220h_1e_1c,教父2,"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",1974-12-12(美国),9.0
98,https://p0.meituan.net/moviemachine/4d3f9e5f821e6e42b1ea48eb39c5df0e1293530.jpg@160w_220h_1e_1c,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04,8.9
99,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@160w_220h_1e_1c,末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987-10-23,8.8
100,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@160w_220h_1e_1c,加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003-11-21,8.9
